gameID,player1,player2,moves,endState
41,RandomAgent,SmartAgent,"[2, 6, 1, 3, 7, 1, 7, 5, 4, 2, 5, 3, 4, 6, 2, 6, 4, 6]",loss
42,RandomAgent,SmartAgent,"[4, 1, 4, 6, 7, 7, 1, 5, 7, 5, 5, 6, 7, 4, 6, 3, 1, 3, 4, 6, 7, 7, 1, 1, 2, 2, 4, 6, 2, 5]",loss
43,RandomAgent,SmartAgent,"[6, 7, 7, 6, 2, 1, 5, 1, 3, 4, 2, 7, 5, 2, 7, 3, 7, 3, 4, 4, 7, 1]",loss
44,RandomAgent,SmartAgent,"[4, 4, 7, 1, 3, 5, 4, 7, 1, 6, 7, 6, 6, 5]",loss
45,RandomAgent,SmartAgent,"[4, 5, 1, 6, 1, 1, 7, 2, 7, 6, 2, 3, 1, 1, 1, 6, 7, 6]",loss
46,RandomAgent,SmartAgent,"[1, 5, 2, 1, 5, 7, 4, 3, 6, 3, 2, 5, 1, 3, 1, 3]",loss
47,RandomAgent,SmartAgent,"[7, 6, 6, 4, 3, 6, 5, 2, 5, 2, 3, 4, 3, 3, 5, 5, 3, 6, 2, 4, 7, 4]",loss
48,RandomAgent,SmartAgent,"[5, 4, 7, 4, 7, 4, 4, 1, 2, 3, 7, 1, 1, 7, 6, 1, 1, 7, 6, 5, 7, 6]",loss
49,RandomAgent,SmartAgent,"[5, 3, 2, 1, 4, 5, 2, 3, 1, 7, 5, 1, 4, 5, 1, 7, 6, 6, 1, 1, 6, 5, 5, 7, 6, 7]",loss
50,RandomAgent,SmartAgent,"[3, 1, 6, 3, 7, 4, 1, 5, 3, 5, 1, 1, 4, 7, 5, 5, 7, 6, 7, 4, 3, 2]",loss
51,RandomAgent,SmartAgent,"[5, 1, 4, 4, 1, 6, 4, 5, 5, 4, 1, 2, 7, 1, 3, 2, 1, 3]",loss
52,RandomAgent,SmartAgent,"[4, 1, 6, 7, 4, 2, 1, 3, 5, 7, 7, 6, 4, 4, 3, 2, 4, 3]",loss
53,RandomAgent,SmartAgent,"[5, 1, 1, 3, 1, 3, 3, 3, 5, 3, 7, 1, 6, 4, 7, 2]",loss
54,RandomAgent,SmartAgent,"[7, 2, 3, 6, 4, 1, 7, 6, 3, 5, 2, 5, 6, 1, 5, 3, 4, 6, 3, 3, 6, 6, 5, 4, 1, 3, 5, 5, 7, 2, 2, 4, 1, 4, 2, 4]",loss
55,RandomAgent,SmartAgent,"[4, 2, 3, 1, 2, 5, 1, 6, 2, 5, 4, 3, 1, 5, 5, 3, 6, 7, 6, 1, 3, 5, 6, 6, 4, 4, 7, 6]",loss
56,RandomAgent,SmartAgent,"[1, 6, 1, 3, 2, 2, 3, 7, 2, 5, 3, 4]",loss
57,RandomAgent,SmartAgent,"[1, 7, 2, 6, 2, 6, 3, 4, 4, 5]",loss
58,RandomAgent,SmartAgent,"[2, 1, 5, 2, 4, 3, 6, 3, 4, 2, 5, 4, 4, 7, 1, 4, 3, 2, 6, 2]",loss
59,RandomAgent,SmartAgent,"[2, 4, 7, 2, 2, 1, 1, 6, 2, 1, 7, 1, 4, 2, 2, 7, 1, 4, 5, 6, 3, 1, 6, 7, 4, 4, 4, 3, 6, 3, 6, 3]",loss
60,RandomAgent,SmartAgent,"[6, 7, 4, 2, 3, 5, 7, 6, 6, 5, 7, 4, 3, 5, 1, 5]",loss
61,RandomAgent,SmartAgent,"[6, 4, 6, 7, 7, 3, 3, 1, 3, 2]",loss
62,RandomAgent,SmartAgent,"[7, 7, 7, 5, 2, 5, 6, 7, 3, 5, 7, 5]",loss
63,RandomAgent,SmartAgent,"[3, 2, 1, 1, 6, 2, 5, 4, 4, 4, 1, 2, 6, 2]",loss
64,RandomAgent,SmartAgent,"[6, 7, 5, 1, 4, 3, 4, 6, 1, 2, 1, 2, 2, 4, 4, 6, 3, 1, 4, 6, 1, 6]",loss
65,RandomAgent,SmartAgent,"[5, 1, 5, 1, 4, 7, 7, 7, 2, 3, 7, 4, 2, 5, 5, 4, 2, 2, 2, 7, 2, 1, 7, 1]",loss
66,RandomAgent,SmartAgent,"[1, 1, 3, 1, 5, 3, 4, 2, 7, 6, 7, 4, 4, 2]",loss
67,RandomAgent,SmartAgent,"[2, 1, 7, 4, 6, 1, 1, 4, 6, 6, 2, 3, 6, 2, 5, 3, 6, 1]",loss
68,RandomAgent,SmartAgent,"[7, 4, 6, 7, 2, 2, 3, 6, 2, 5, 3, 7, 2, 5, 3, 4]",loss
69,RandomAgent,SmartAgent,"[6, 2, 4, 5, 2, 6, 4, 7, 5, 2, 6, 7, 7, 3, 7]",win
70,RandomAgent,SmartAgent,"[5, 3, 6, 6, 1, 2, 5, 2, 7, 4, 6, 3, 5, 5, 3, 2, 7, 2]",loss
71,RandomAgent,SmartAgent,"[6, 7, 1, 6, 6, 6, 3, 2, 6, 3, 1, 4, 7, 6, 3, 4, 3, 3, 1, 1, 2, 2]",loss
72,RandomAgent,SmartAgent,"[2, 4, 1, 5, 4, 4, 1, 4, 1, 1, 2, 2, 2, 4, 5, 4]",loss
73,RandomAgent,SmartAgent,"[5, 1, 2, 2, 6, 5, 4, 3, 2, 4, 4, 3]",loss
74,RandomAgent,SmartAgent,"[1, 2, 6, 1, 3, 6, 6, 7, 2, 3, 7, 6, 3, 2, 5, 4, 6, 2, 4, 5, 6, 1, 5, 1]",loss
75,RandomAgent,SmartAgent,"[5, 2, 5, 1, 3, 4, 3, 6, 3, 3, 3, 3, 1, 1, 6, 4, 4, 4, 1, 7, 4, 2, 2, 5, 4, 7, 5, 6, 5, 2, 6, 2, 7]",win
76,RandomAgent,SmartAgent,"[4, 4, 3, 5, 4, 1, 4, 6, 7, 2, 4, 4, 2, 7, 7, 1, 6, 2, 7, 1, 1, 7, 5, 5, 6]",win
77,RandomAgent,SmartAgent,"[7, 1, 5, 7, 5, 1, 2, 2, 5, 5, 5, 7, 5, 4, 6, 2, 3, 2, 2, 7, 2, 7]",loss
78,RandomAgent,SmartAgent,"[4, 4, 4, 5, 4, 2, 2, 3, 5, 7, 5, 6, 2, 3, 4, 3, 5, 2]",loss
79,RandomAgent,SmartAgent,"[5, 4, 5, 7, 2, 5, 2, 1, 5, 7, 2, 2, 4, 1, 4, 2, 7, 4, 1, 5, 2, 5, 1, 6, 4, 6]",loss
80,RandomAgent,SmartAgent,"[7, 1, 3, 4, 1, 3, 4, 5, 6, 3, 1, 4, 5, 7, 3, 6, 7, 7, 3, 7, 5, 5, 1, 2]",loss
81,RandomAgent,SmartAgent,"[7, 5, 7, 7, 4, 7, 5, 4, 2, 5, 3, 1, 3, 3, 7, 2, 4, 4]",loss
82,RandomAgent,SmartAgent,"[4, 6, 1, 6, 7, 6, 1, 6]",loss
83,RandomAgent,SmartAgent,"[4, 1, 4, 7, 7, 7, 3, 7, 7, 7, 2, 5, 3, 3, 6, 1, 3, 5, 4, 4, 2, 6, 1, 5]",loss
84,RandomAgent,SmartAgent,"[6, 2, 2, 1, 2, 4, 2, 3]",loss
85,RandomAgent,SmartAgent,"[6, 5, 7, 6, 7, 7, 2, 4, 6, 2, 5, 7, 2, 1, 5, 6, 2, 1, 1, 4, 3, 3]",loss
86,RandomAgent,SmartAgent,"[4, 6, 2, 6, 3, 1, 2, 5, 7, 2, 4, 7, 4, 4, 3, 1, 7, 5, 2, 1, 1, 7, 2, 3, 3, 2, 6, 5, 4, 3]",loss
87,RandomAgent,SmartAgent,"[3, 6, 7, 2, 3, 2, 2, 1, 4, 4, 1, 7, 6, 1, 6, 1, 4, 7, 5, 4, 3, 3, 1, 2]",loss
88,RandomAgent,SmartAgent,"[2, 3, 2, 5, 2, 2, 5, 4, 1, 6]",loss
89,RandomAgent,SmartAgent,"[1, 5, 7, 6, 6, 3, 6, 4]",loss
90,RandomAgent,SmartAgent,"[7, 3, 4, 5, 6, 3, 4, 2, 3, 4, 3, 5, 4, 6, 7, 6, 6, 1, 4, 4, 7, 1, 2, 2, 6, 3, 3, 6, 5, 5]",loss
91,RandomAgent,SmartAgent,"[2, 3, 5, 1, 1, 6, 4, 7, 1, 3, 4, 3, 2, 3]",loss
92,RandomAgent,SmartAgent,"[5, 3, 7, 7, 4, 6, 6, 5, 3, 2, 2, 7, 3, 2, 3, 3, 5, 6, 6, 3, 1, 1, 2, 4, 4, 4, 1, 2, 5, 6, 5, 5, 1, 7, 2, 4, 6, 1]",loss
93,RandomAgent,SmartAgent,"[2, 2, 3, 4, 2, 1, 2, 1, 4, 3, 2, 2, 3, 5, 1, 4, 6, 5, 1, 1, 7, 3, 4, 1, 5, 6, 4, 4, 6, 6, 7, 5, 7, 6]",loss
94,RandomAgent,SmartAgent,"[6, 2, 5, 3, 2, 4, 7, 1]",loss
95,RandomAgent,SmartAgent,"[5, 1, 3, 5, 6, 4, 3, 7, 6, 7, 7, 7, 6, 6, 3, 3, 4, 4, 4, 1, 1, 5, 5, 7, 7, 2, 5, 2, 6, 6, 2, 2, 1, 2]",loss
96,RandomAgent,SmartAgent,"[6, 6, 4, 6, 3, 5, 5, 5, 6, 6, 4, 4, 5, 2, 4, 2, 6, 2, 4, 2]",loss
97,RandomAgent,SmartAgent,"[1, 1, 6, 6, 4, 3, 4, 4, 7, 5, 2, 6, 4, 7, 6, 5, 5, 7, 1, 1, 7, 5, 7]",win
98,RandomAgent,SmartAgent,"[6, 3, 4, 2, 1, 4, 4, 4, 2, 3, 3, 2, 4, 7, 7, 5, 4, 7, 2, 1, 1, 1, 3, 3, 3, 5, 7, 6]",loss
99,RandomAgent,SmartAgent,"[6, 6, 4, 6, 1, 3, 7, 5, 7, 3, 1, 7, 1, 1, 5, 4, 2, 7, 3, 1, 5, 4, 2, 4, 4, 2, 2, 4, 1, 6, 5, 5]",loss
100,RandomAgent,SmartAgent,"[4, 7, 1, 7, 2, 3, 7, 4, 5, 3, 1, 5, 5, 2]",loss
101,RandomAgent,SmartAgent,"[6, 5, 7, 7, 4, 4, 1, 7, 4, 5, 7, 6]",loss
102,RandomAgent,SmartAgent,"[4, 4, 2, 1, 2, 3, 3, 5, 5, 2, 3, 3, 4, 7, 6, 7, 5, 5, 5, 4, 2, 5, 6, 4]",loss
103,RandomAgent,SmartAgent,"[4, 7, 7, 1, 4, 3, 5, 2, 3, 1, 3, 2, 5, 5, 3, 3, 6, 4, 6]",win
104,RandomAgent,SmartAgent,"[3, 3, 3, 2, 3, 5, 6, 2, 4, 6, 2, 4, 5, 4, 2, 2, 5, 5]",loss
105,RandomAgent,SmartAgent,"[1, 1, 3, 1, 5, 3, 5, 2, 7, 5, 1, 3, 3, 7, 1, 5, 1, 4, 4, 4]",loss
106,RandomAgent,SmartAgent,"[4, 1, 1, 5, 5, 5, 2, 1, 1, 7, 6, 7, 4, 2, 3, 2, 5, 1, 3, 4, 3, 3, 6]",win
107,RandomAgent,SmartAgent,"[7, 3, 4, 7, 1, 5, 1, 3, 2, 1, 5, 3, 4, 3]",loss
108,RandomAgent,SmartAgent,"[2, 3, 4, 6, 6, 6, 3, 4, 4, 6, 3, 1, 2, 2, 7, 4, 6, 3, 2, 1, 3, 4]",loss
109,RandomAgent,SmartAgent,"[4, 2, 3, 1, 7, 5, 2, 6, 2, 7, 5, 3, 4, 7, 6, 5, 4, 4, 4, 1, 5, 4, 1, 3, 7, 6, 7, 3, 5, 3]",loss
